exact,summer,brochak,semester,permission,open,one,join,timetable,tentative,year,know,tomorrow,still,timing,science,foundation,enlist,fall,offer,fc,option,removal,begin,registration,date,remove,next,new,time,curricular,physic,major,list,happen,separate,reistration,registrarion,delete,take,slot,hey,co,selection,held,drop,add,monsoon,psychology,nd,Target_Class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24421057,0,0,0,0,0,0,0,0,0,0,0,0,0.541279661,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541279661,0,0,0,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575568862,0.295995247,0,0,0,0,0,0,0,0,0,0,0,0,0.251904043,0,0,0,0.232103395,0,0,0,0,0,0,0,0,0.318661242,0,0,0,0,0,0,0,0,8
0,0,0.567025847,0,0,0,0,0,0.427038587,0,0,0,0,0,0.310283085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505543126,0,0,0,0,0,0.239779125,0,0,0,0,0,0,0,0,0.347886224,0,0,0,0,0,0,0,0,0,0,0.305797316,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547102927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239445613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0.208391335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263960952,0,0,0,0,0,0,0,0.282065407,0,0,0,0,0.292527663,0.248653853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0.164364652,0,0,0,0,0,0,0,0,0,0,0,0.588476264,0,0,0,0.208194117,0,0,0,0,0,0,0,0.222473658,0,0,0,0,0.23072556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269242603,0,0,0,0,0,0,0,0,0,0,0,0,0.596761823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0.172624781,0,0,0,0,0,0,0,0.194993132,0,0,0,0,0,0,0,0.218656891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732081983,0,0,9
0,0.653301798,0,0.409093902,0,0,0,0,0,0,0,0.23105171,0,0,0,0,0,0,0,0.259091425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270033406,0,0,0,0,0,0,0,0,0.448508525,0.294778425,0,0,0,0,0,0,0,0,0,0,0,0.493471697,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0.496418886,0,0,0,0,0,0,0,0,0,0,0,0.593077894,0,0,0,0,0,0,0,0,0,0.496418886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0.456048075,0,0,0,0,0,0,0,0,0,0,0.242940667,0,0,0.499109536,0,0,0,0,0,0,0,0,0,0.272423189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456048075,0,0,0,0,0,0,10
0,0,0,0.204914571,0,0,0,0,0,0.434509649,0,0.231466965,0,0,0,0,0,0,0,0,0,0,0,0,0.519114149,0.327237969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0.283644662,0,0,0,0,0.526938708,0,0,0,0,0,0,0,0,0,0,0,0,0.283644662,0.372846097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283644662,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204714791,0,0,0,0,0,0,0,0.283351271,0,0,0,0,0.443843401,0,0,0,0,0,0,0,0,0,0,0,0,0.522157494,0,0,0,6
0,0,0,0.258554905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393907013,0,0,0,0,0.308509341,0,0,0,0,0,0,0,0,0,0,0,0,0.362944372,0,0,0,6
0,0,0,0.174878953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313060356,0,0.266427148,0,0,0,0,0.208666668,0,0,0,0,0,0,0,0,0,0,0,0,0.245484926,0,0,0,6
0,0,0,0.363773133,0,0,0.701076901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0.166147313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365753345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253124542,0,0,0,0,0,0.434681682,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686179536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0.290855333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196841745,0,0,0,0,0,0,0,0,0,0,0.616742128,0.221558271,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447184717,0,0.39149571,0,0,0,0.363649086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0.233477793,0,0,0.239834266,0,0,0,0,0,0.455013609,0,0,0,0,0,0,0,0.314898313,0.33008079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39834965,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0.206690845,0,0,0,0,0,0,0,0,0.201404909,0,0,0,0,0,0,0,0,0.292210564,0,0,0,0,0,0,0,0,0,0,0.256857558,0,0,0,0.352646926,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367347045,0,0,0,0,0,0,0,0,0.532969566,0,0,0,0,0,0,0,0,0,0,0.468488407,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17836756,0,0,0,0,0,0,0,0,0,8
0,0.296094386,0,0.185412635,0,0,0,0,0,0,0.331917275,0.20943801,0,0,0,0,0,0,0,0.469709508,0,0,0,0,0,0,0,0.250962884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0.188949313,0,0,0,0,0,0,0,0,0,0,0,0.676496951,0,0,0,0.239334523,0,0,0,0,0,0,0,0.25574991,0,0,0,0.364150035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0.154867187,0,0,0,0,0,0,0,0.174934548,0,0,0,0,0,0,0.656774058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184788503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0.193623164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204529837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0.259207388,0,0,0.266264353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,0.334909094,0,0,0,0,0,0.196294476,0,0,0,0,0,0,0,0,0,0,0,0,0.440232324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243937848,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0.366610352,0,0,0,0,0.486788668,0,0,0,0,0,0,0.252684652,0.442434427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322256111,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585142499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27911407,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563383582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46787237,0,0,0,0,0,0,0,0,8
